fips,county_name,egi_rank,egi_score,ci_lo,ci_hi,ci_width
28055,Issaquena County,1,87.35,81.18,92.26,11.08
28051,Holmes County,2,84.57,77.14,90.46,13.31
28163,Yazoo County,3,84.07,79.5,87.37,7.87
28143,Tunica County,4,82.55,76.45,87.83,11.38
28053,Humphreys County,5,82.37,75.89,87.95,12.06
28103,Noxubee County,6,78.65,74.6,81.89,7.29
28119,Quitman County,7,76.6,70.91,81.27,10.36
28133,Sunflower County,8,75.12,69.25,79.44,10.19
28135,Tallahatchie County,9,74.21,71.31,76.5,5.19
28069,Kemper County,10,73.61,70.72,75.95,5.23
