fips,county_name,region,population,total_providers,pcp_per_10k,capacity_gap_score,capacity_rank,capacity_quintile
28055,"Issaquena County",Delta,1206,0,0.0,100.0,1,1
28015,"Carroll County",Delta,9930,4,4.03,92.37,2,1
28041,"Greene County",Other,13672,7,5.12,90.3,3,1
28009,"Benton County",Other,7637,4,5.24,90.08,4,1
28029,"Copiah County",Other,28210,17,6.03,88.59,5,1
28143,"Tunica County",Delta,9787,6,6.13,88.39,6,1
28005,"Amite County",Other,12683,8,6.31,88.05,7,1
28093,"Marshall County",Other,33980,22,6.47,87.74,8,1
28069,"Kemper County",Other,8980,6,6.68,87.34,9,1
28061,"Jasper County",Other,16320,11,6.74,87.23,10,1
28147,"Walthall County","Pine Belt",13888,10,7.2,86.36,11,1
28161,"Yalobusha County",Other,12499,9,7.2,86.36,12,1
28079,"Leake County",Other,21335,16,7.5,85.79,13,1
28101,"Newton County",Other,21275,16,7.52,85.75,14,1
28013,"Calhoun County",Other,13193,10,7.58,85.64,15,1
28051,"Holmes County",Delta,16848,13,7.72,85.38,16,1
28023,"Clarke County",Other,15553,13,8.36,84.17,17,1
28129,"Smith County",Other,14310,12,8.39,84.12,18,2
28103,"Noxubee County",Other,10261,9,8.77,83.39,19,2
28057,"Itawamba County",Other,23888,21,8.79,83.35,20,2
28163,"Yazoo County",Delta,27467,27,9.83,81.38,21,2
28133,"Sunflower County",Delta,25867,26,10.05,80.96,22,2
28135,"Tallahatchie County",Delta,12621,13,10.3,80.49,23,2
28139,"Tippah County",Other,21769,23,10.57,79.99,24,2
28115,"Pontotoc County",Other,31202,34,10.9,79.36,25,2
28137,"Tate County",Delta,28094,31,11.03,79.1,26,2
28097,"Montgomery County",Other,9803,11,11.22,78.75,27,2
28065,"Jefferson Davis County",Other,11291,13,11.51,78.19,28,2
28037,"Franklin County",Other,7690,9,11.7,77.83,29,2
28077,"Lawrence County",Other,11933,14,11.73,77.78,30,2
28107,"Panola County",Delta,33157,39,11.76,77.72,31,2
28085,"Lincoln County",Other,34855,42,12.05,77.18,32,2
28111,"Perry County","Pine Belt",11511,14,12.16,76.96,33,2
28021,"Claiborne County",Other,9044,11,12.16,76.96,34,2
28123,"Scott County",Other,27943,35,12.53,76.27,35,3
28153,"Wayne County","Pine Belt",19760,26,13.16,75.08,36,3
28039,"George County",Other,24547,33,13.44,74.54,37,3
28131,"Stone County","Pine Belt",18360,25,13.62,74.21,38,3
28031,"Covington County",Other,18323,25,13.64,74.16,39,3
28091,"Marion County","Pine Belt",24362,34,13.96,73.56,40,3
28105,"Oktibbeha County",Other,51388,72,14.01,73.46,41,3
28157,"Wilkinson County",Other,8531,12,14.07,73.36,42,3
28033,"DeSoto County",Delta,186214,264,14.18,73.15,43,3
28127,"Simpson County",Other,25889,37,14.29,72.93,44,3
28141,"Tishomingo County",Other,18837,27,14.33,72.85,45,3
28109,"Pearl River County","Pine Belt",56351,81,14.37,72.77,46,3
28159,"Winston County",Other,17741,26,14.66,72.24,47,3
28119,"Quitman County",Delta,6113,9,14.72,72.11,48,3
28099,"Neshoba County",Other,28970,43,14.84,71.89,49,3
28007,"Attala County",Other,17842,27,15.13,71.34,50,3
28117,"Prentiss County",Other,24945,38,15.23,71.15,51,4
28019,"Choctaw County",Other,8208,13,15.84,70.0,52,4
28017,"Chickasaw County",Other,17024,27,15.86,69.96,53,4
28083,"Leflore County",Delta,27920,46,16.48,68.79,54,4
28045,"Hancock County",Coastal,46010,76,16.52,68.71,55,4
28059,"Jackson County",Coastal,143721,240,16.7,68.37,56,4
28053,"Humphreys County",Delta,7744,13,16.79,68.2,57,4
28025,"Clay County",Other,18598,32,17.21,67.41,58,4
28011,"Bolivar County",Delta,30688,53,17.27,67.29,59,4
28001,"Adams County",Other,29425,53,18.01,65.88,60,4
28063,"Jefferson County",Other,7207,13,18.04,65.83,61,4
28155,"Webster County",Other,9942,18,18.11,65.71,62,4
28043,"Grenada County",Other,21474,39,18.16,65.6,63,4
28067,"Jones County",Other,67152,131,19.51,63.05,64,4
28113,"Pike County",Other,40098,82,20.45,61.26,65,4
28087,"Lowndes County",Other,58547,120,20.5,61.18,66,4
28095,"Monroe County",Other,34168,72,21.07,60.09,67,5
28151,"Washington County",Delta,44604,95,21.3,59.66,68,5
28089,"Madison County",Other,109257,246,22.52,57.35,69,5
28121,"Rankin County",Other,157185,358,22.78,56.86,70,5
28027,"Coahoma County",Delta,21264,49,23.04,56.35,71,5
28149,"Warren County",Delta,44341,106,23.91,54.72,72,5
28071,"Lafayette County",Other,56172,137,24.39,53.8,73,5
28145,"Union County",Other,27880,71,25.47,51.76,74,5
28047,"Harrison County",Coastal,208748,579,27.74,47.46,75,5
28035,"Forrest County","Pine Belt",77917,248,31.83,39.71,76,5
28125,"Sharkey County",Delta,3910,13,33.25,37.02,77,5
28075,"Lauderdale County",Other,72741,242,33.27,36.98,78,5
28073,"Lamar County","Pine Belt",64425,219,33.99,35.61,79,5
28003,"Alcorn County",Other,34717,126,36.29,31.25,80,5
28081,"Lee County",Other,83343,329,39.48,25.23,81,5
28049,"Hinds County",Other,226541,1196,52.79,0.0,82,5
